# schema=engine-default-glyph-frequency-corpus.v1
# source=messense/jieba-rs@c62e0df1f9dcc2cc1e014711c5aa4561ae260538
# sourcePath=jieba/src/data/dict.txt
# sourceBlobSha=8a9837551ef4f0833835565b5ca654bd6d786a42
# sourceSha256=139519822fe8ab9e10d9d07e68ea0451045380aedaf54ecc51e2a28c6b42a13f
# algorithm=sum word frequency for each Han scalar occurrence; sort score desc then codepoint asc; take 1200
U+4E4E	26211
U+8BB2	26200
U+5C1A	26185
U+826F	26173
U+53CB	26135
U+4E34	26117
U+6FC0	26075
U+5200	26023
U+591C	26011
U+5BA4	25989
U+65E2	25981
U+6562	25977
U+90A6	25796
U+6325	25794
U+660C	25794
U+677F	25755
U+80E1	25691
U+6B27	25631
U+798F	25593
U+6E2F	25567
U+53F6	25542
U+7B80	25339
U+82E6	25270
U+62C5	25183
U+53E5	25145
U+5C81	25077
U+8346	25055
U+8D35	24984
U+5A18	24979
U+5B88	24924
U+8F96	24900
U+5A01	24752
U+5B9C	24601
U+8863	24592
U+5E2E	24580
U+5757	24569
U+5802	24563
U+989D	24480
U+9519	24461
U+5267	24431
U+5145	24359
U+6B22	24338
U+591F	24235
U+5B59	24191
U+73ED	24157
U+547C	24156
U+9635	24030
U+9500	23923
U+575A	23896
U+7EC3	23869
U+811A	23857
U+9000	23844
U+8BFB	23831
U+6D4B	23788
U+5434	23562
U+5E0C	23541
U+5B81	23466
U+6362	23337
U+7248	23301
U+5F02	23294
U+67D0	23203
U+987E	23071
U+66F2	22994
U+695A	22956
U+5178	22838
U+6731	22837
U+6BD2	22815
U+83DC	22787
U+5224	22764
U+6551	22653
U+5B8B	22593
U+8336	22583
U+6D2A	22545
U+542B	22500
U+987A	22485
U+554A	22399
U+9C9C	22270
U+8D25	22262
U+8D27	22228
U+77FF	22108
U+7AEF	22048
U+5144	22017
U+5F52	21999
U+51B7	21929
U+5FD9	21902
U+4E70	21889
U+9669	21828
U+5EB7	21807
U+8BC4	21803
U+8089	21796
U+5417	21792
U+5382	21664
U+6C38	21597
U+54C8	21540
U+6C89	21523
U+6563	21454
U+9057	21384
U+505C	21346
U+7B14	21290
U+5047	21264
U+8F93	21247
U+725B	21181
U+6D1E	21175
U+677E	21174
U+6E10	21152
U+9876	21144
U+8BAD	21138
U+5F55	21118
U+5426	21098
U+8FF0	21087
U+6BD5	21057
U+7763	21038
U+63A7	20969
U+4E30	20951
U+732E	20855
U+59D1	20813
U+5FFD	20780
U+7237	20764
U+4E92	20748
U+4EAE	20734
U+7EB3	20724
U+8944	20699
U+767B	20647
U+54B1	20635
U+949F	20614
U+4F2F	20609
U+81E3	20595
U+96C4	20593
U+5B63	20546
U+8111	20462
U+4ECB	20382
U+9102	20366
U+53EC	20307
U+996D	20304
U+6697	20283
U+6269	20273
U+7956	20251
U+9F50	20150
U+77ED	20129
U+70C8	20126
U+8D76	20099
U+724C	20092
U+6069	20087
U+8BC9	20068
U+79FB	20053
U+8BD7	20031
U+7840	19991
U+9732	19899
U+5C4A	19878
U+8499	19869
U+9759	19753
U+559D	19643
U+76D8	19621
U+5356	19604
U+690D	19545
U+6388	19534
U+4F0A	19529
U+6E7E	19519
U+535A	19461
U+75DB	19430
U+51CF	19411
U+7A7F	19405
U+9010	19401
U+79D8	19396
U+5EAD	19355
U+9675	19300
U+56FA	19245
U+7981	19219
U+7968	19209
U+7075	19163
U+6742	19147
U+59D3	19085
U+6CFD	19075
U+5438	18958
U+4FA7	18875
U+5E86	18840
U+5988	18834
